Date,Price,Open,High,Low,Vol.,Change %,log_return
2021-11-18,17764.8,"17,890.55","17,945.60","17,688.50",278.43M,-0.75%,-0.007506319690276539
2021-11-22,17416.55,"17,796.25","17,805.25","17,280.45",356.40M,-1.96%,-0.019798067728082253
2021-11-23,17503.35,"17,281.75","17,553.70","17,216.10",308.84M,0.50%,0.004971387591004055
2021-11-24,17415.05,"17,550.05","17,600.60","17,354.00",298.05M,-0.50%,-0.005057516278800545
2021-11-25,17536.25,"17,417.30","17,564.35","17,351.70",255.95M,0.70%,0.0069353921488597555
2021-11-26,17026.45,"17,338.75","17,355.40","16,985.70",356.33M,-2.91%,-0.029502149772621358
2021-11-29,17053.95,"17,055.80","17,160.70","16,782.40",348.89M,0.16%,0.001613831173843718
2021-11-30,16983.2,"17,051.15","17,324.65","16,931.40",498.00M,-0.41%,-0.004157228316412426
2021-12-01,17166.9,"17,104.40","17,213.05","17,064.25",295.54M,1.08%,0.010758491006561958
2021-12-02,17401.65,"17,183.20","17,420.35","17,149.30",279.87M,1.37%,0.01358191816862196
2021-12-03,17196.7,"17,424.90","17,489.80","17,180.80",292.53M,-1.18%,-0.011847524364121427
2021-12-06,16912.25,"17,209.05","17,216.75","16,891.70",231.72M,-1.65%,-0.016679293525066932
2021-12-07,17176.7,"17,044.10","17,251.65","16,987.75",254.14M,1.56%,0.015515602865605863
2021-12-08,17469.75,"17,315.25","17,484.60","17,308.95",257.79M,1.71%,0.01691699951017999
2021-12-09,17516.85,"17,524.40","17,543.25","17,379.60",237.17M,0.27%,0.0026924610252884998
2021-12-10,17511.3,"17,476.05","17,534.35","17,405.25",204.47M,-0.03%,-0.0003168879913123273
2021-12-13,17368.25,"17,619.10","17,639.50","17,355.95",256.56M,-0.82%,-0.008202560070672313
2021-12-14,17324.9,"17,283.20","17,376.20","17,225.80",270.97M,-0.25%,-0.0024990537072034653
2021-12-15,17221.4,"17,323.65","17,351.20","17,192.20",214.97M,-0.60%,-0.005991976545675948
2021-12-16,17248.4,"17,373.00","17,379.35","17,184.95",219.50M,0.16%,0.0015665890444361708
2021-12-17,16985.2,"17,276.00","17,298.15","16,966.45",354.59M,-1.53%,-0.015377008913403054
2021-12-20,16614.2,"16,824.25","16,840.10","16,410.20",330.61M,-2.18%,-0.02208462525426377
2021-12-21,16770.85,"16,773.15","16,936.40","16,688.25",241.03M,0.94%,0.009384508914368171
2021-12-22,16955.45,"16,865.55","16,971.00","16,819.50",207.95M,1.10%,0.010947055769810723
2021-12-23,17072.6,"17,066.80","17,118.65","17,015.55",196.97M,0.69%,0.006885523140111989
2021-12-24,17003.75,"17,149.50","17,155.60","16,909.60",182.56M,-0.40%,-0.004040931243418335
2021-12-27,17086.25,"16,937.75","17,112.05","16,833.20",144.78M,0.49%,0.004840138519222991
2021-12-28,17233.25,"17,177.60","17,250.25","17,161.15",176.03M,0.86%,0.008566610759914585
2021-12-29,17213.6,"17,220.10","17,285.95","17,176.65",161.68M,-0.11%,-0.0011408881875360657
2021-12-30,17203.95,"17,201.45","17,264.05","17,146.35",320.83M,-0.06%,-0.0005607604406977799
2021-12-31,17354.05,"17,244.50","17,400.80","17,238.50",167.03M,0.87%,0.008686899930872365
2022-01-03,17625.7,"17,387.15","17,646.65","17,383.30",200.46M,1.57%,0.015532155674438485
2022-01-04,17805.25,"17,681.40","17,827.60","17,593.55",247.44M,1.02%,0.01013529340916908
2022-01-05,17925.25,"17,820.10","17,944.70","17,748.85",251.46M,0.67%,0.006716975758933995
2022-01-06,17745.9,"17,768.50","17,797.95","17,655.55",236.45M,-1.00%,-0.010055830065243644
2022-01-07,17812.7,"17,797.60","17,905.00","17,704.55",239.34M,0.38%,0.003757182711433793
2022-01-10,18003.3,"17,913.30","18,017.45","17,879.15",232.42M,1.07%,0.01064338838998579
2022-01-11,18055.75,"17,997.75","18,081.25","17,964.40",220.24M,0.29%,0.0029091191803581893
2022-01-12,18212.35,"18,170.40","18,227.95","18,128.80",244.97M,0.87%,0.00863574177947351
2022-01-13,18257.8,"18,257.00","18,272.25","18,163.80",303.70M,0.25%,0.0024924505947533245
2022-01-14,18255.75,"18,185.00","18,286.95","18,119.65",229.45M,-0.01%,-0.00011228708258463262
2022-01-17,18308.1,"18,235.65","18,321.55","18,228.75",266.70M,0.29%,0.0028634859715560308
2022-01-18,18113.05,"18,337.20","18,350.95","18,085.90",227.51M,-1.07%,-0.010710911914286183
2022-01-19,17938.4,"18,129.20","18,129.20","17,884.90",276.66M,-0.96%,-0.009689006478082284
2022-01-20,17757.0,"17,921.00","17,943.70","17,648.45",258.09M,-1.01%,-0.010163862100486327
2022-01-21,17617.15,"17,613.70","17,707.60","17,485.85",277.65M,-0.79%,-0.007906944964905686
2022-01-24,17149.1,"17,575.15","17,599.40","16,997.85",323.85M,-2.66%,-0.026927165310979384
2022-01-25,17277.95,"17,001.55","17,309.15","16,836.80",326.52M,0.75%,0.007485427978237365
2022-01-27,17110.15,"17,062.00","17,182.50","16,866.75",395.60M,-0.97%,-0.009759267410336796
2022-01-28,17101.95,"17,208.30","17,373.50","17,077.10",355.28M,-0.05%,-0.0004793625738860481
2022-01-31,17339.85,"17,301.05","17,410.00","17,264.15",321.66M,1.39%,0.01381482870112138
2022-02-01,17576.85,"17,529.45","17,622.40","17,244.55",386.39M,1.37%,0.013575374518897244
2022-02-02,17780.0,"17,706.20","17,794.60","17,674.80",271.21M,1.16%,0.011491534770912802
2022-02-03,17560.2,"17,767.75","17,781.15","17,511.15",226.61M,-1.24%,-0.012439252422007897
2022-02-04,17516.3,"17,590.20","17,617.80","17,462.55",261.43M,-0.25%,-0.002503101673277095
2022-02-07,17213.6,"17,456.30","17,536.75","17,119.40",265.04M,-1.73%,-0.017432106933369305
2022-02-08,17266.75,"17,279.85","17,306.45","17,043.65",268.53M,0.31%,0.003082917783403323
2022-02-09,17463.8,"17,370.10","17,477.15","17,339.00",236.35M,1.14%,0.01134748021146286
2022-02-10,17605.85,"17,554.10","17,639.45","17,427.15",273.61M,0.81%,0.008101066127662239
2022-02-11,17374.75,"17,451.00","17,454.75","17,303.00",253.14M,-1.31%,-0.013213230321500876
2022-02-14,16842.8,"17,076.15","17,099.50","16,809.65",305.51M,-3.06%,-0.031094737081558063
2022-02-15,17352.45,"16,933.25","17,375.00","16,839.25",298.66M,3.03%,0.029810441021687707
2022-02-16,17322.2,"17,408.45","17,490.60","17,257.70",244.55M,-0.17%,-0.0017447909452098886
2022-02-17,17304.6,"17,396.55","17,442.90","17,235.85",232.14M,-0.10%,-0.0010165537396252585
2022-02-18,17276.3,"17,236.05","17,380.80","17,219.20",189.62M,-0.16%,-0.0016367420349265715
2022-02-21,17206.65,"17,192.25","17,351.05","17,070.70",215.18M,-0.40%,-0.004039683073425889
2022-02-22,17092.2,"16,847.95","17,148.55","16,843.80",300.13M,-0.67%,-0.006673717910992999
2022-02-23,17063.25,"17,194.50","17,220.70","17,027.85",200.23M,-0.17%,-0.0016951910709848976
2022-02-24,16247.95,"16,548.90","16,705.25","16,203.25",457.97M,-4.78%,-0.04896028105156906
2022-02-25,16658.4,"16,515.65","16,748.80","16,478.30",329.78M,2.53%,0.024947846739819746
2022-02-28,16793.9,"16,481.60","16,815.90","16,356.30",404.21M,0.81%,0.008101131524734604
2022-03-02,16605.95,"16,593.10","16,678.50","16,478.65",517.72M,-1.12%,-0.011254660360669237
2022-03-03,16498.05,"16,723.20","16,768.95","16,442.95",442.07M,-0.65%,-0.006518872771080209
2022-03-04,16245.35,"16,339.45","16,456.00","16,133.80",456.14M,-1.53%,-0.015435478124563093
2022-03-07,15863.15,"15,867.95","15,944.60","15,711.45",585.40M,-2.35%,-0.02380790463144289
2022-03-08,16013.45,"15,747.75","16,028.75","15,671.45",543.60M,0.95%,0.009430184764144683
2022-03-09,16345.35,"16,078.00","16,418.05","15,990.00",462.23M,2.07%,0.020514459110673795
2022-03-10,16594.9,"16,757.10","16,757.30","16,447.90",486.45M,1.53%,0.015151966019218735
2022-03-11,16630.45,"16,528.80","16,694.40","16,470.90",343.72M,0.21%,0.002139933127338912
2022-03-14,16871.3,"16,633.70","16,887.95","16,606.50",314.67M,1.45%,0.014378601088806696
2022-03-15,16663.0,"16,900.65","16,927.75","16,555.00",381.63M,-1.23%,-0.012423260902022252
2022-03-16,16975.35,"16,876.65","16,987.90","16,837.85",259.97M,1.87%,0.018571599232414908
2022-03-17,17287.05,"17,202.90","17,344.60","17,175.75",448.34M,1.84%,0.018195374494415762
2022-03-21,17117.6,"17,329.50","17,353.35","17,096.40",285.45M,-0.98%,-0.009850492312713139
2022-03-22,17315.5,"17,120.40","17,334.40","17,006.30",338.26M,1.16%,0.011494880163363386
2022-03-23,17245.65,"17,405.05","17,442.40","17,199.60",292.12M,-0.40%,-0.004042116370829646
2022-03-24,17222.75,"17,094.95","17,291.75","17,091.15",290.28M,-0.13%,-0.001328753488373596
2022-03-25,17153.0,"17,289.00","17,294.90","17,076.55",237.12M,-0.40%,-0.004058098847076208
2022-03-28,17222.0,"17,181.85","17,235.10","17,003.90",253.24M,0.40%,0.004014550846285441
2022-03-29,17325.3,"17,297.20","17,343.65","17,235.70",235.15M,0.60%,0.005980224669388954
2022-03-30,17498.25,"17,468.15","17,522.50","17,387.20",505.03M,1.00%,0.00993301498577251
2022-03-31,17464.75,"17,519.20","17,559.80","17,435.20",281.11M,-0.19%,-0.001916312115762529
2022-04-01,17670.45,"17,436.90","17,703.70","17,422.70",291.77M,1.18%,0.011709189086995933
2022-04-04,18053.4,"17,809.10","18,114.65","17,791.40",345.53M,2.17%,0.02144027979090949
2022-04-05,17957.4,"18,080.60","18,095.45","17,921.55",283.45M,-0.53%,-0.005331746443847561
2022-04-06,17807.65,"17,842.75","17,901.00","17,779.85",328.82M,-0.83%,-0.008374145995435539
2022-04-07,17639.55,"17,723.30","17,787.50","17,623.70",308.84M,-0.94%,-0.009484600202821923
